symbol,company_name,lat,lon,country,state
LUNA,Luna Innovations,37.270973,-79.9414313,us,Virginia
LULU,Lululemon Athletica,49.2608724,-123.113952,ca,British Columbia
LSTR,Landstar System,30.3321838,-81.655651,us,Florida
LSCC,Ceva (semiconductor company),39.0817985,-77.1516844,us,Maryland
LPLA,LPL Financial,32.7174202,-117.1627728,us,California
LOVE,LoveSac,41.0534302,-73.5387341,us,
LOV,Starent Networks,42.6106479,-71.2342248,us,Massachusetts
LORL,Loral Space & Communications,40.74932325,-73.97589050171247,us,New York
LOGC,SomaLogic,40.0149856,-105.270545,us,Colorado
LOCO,El Pollo Loco (United States),33.6633386,-117.903317,us,California
LOB,Live Oak Bank,34.2257282,-77.9447107,us,North Carolina
LNDC,23andMe,37.6535403,-122.4168664,us,California
LFUS,Littelfuse,41.8755616,-87.6244212,us,Illinois
LEE,Lee Enterprises,41.5235808,-90.5770967,us,Iowa
LECO,Lincoln Electric,41.5931049,-81.5267873,us,Ohio
LE,Lands' End,42.9600059,-90.1304461,us,Wisconsin
LCII,Siliconware Precision Industries,24.163162,120.6478282,tw,
LAUR,Laureate Education,25.7741728,-80.19362,us,Florida
KXIN,Li Auto,39.9057136,116.3912972,cn,
KTOS,Kratos Defense & Security Solutions,38.5810606,-121.493895,us,California
KRUS,Kura Sushi,34.5289178,135.5015548,jp,
KRO,Monster Worldwide,40.7127281,-74.0060152,us,New York
KPTI,Spark Therapeutics,39.9527237,-75.1635262,us,Pennsylvania
KOSS,Koss Corporation,43.0349931,-87.922497,us,Wisconsin
KNX,Knightscope,32.6992189,-117.1128086,us,California
KNDI,Kandi Technologies,29.1080344,119.6486487,cn,
KMPR,CorVel Corporation,33.6856969,-117.8259819,us,California
KLAC,KLA Corporation,37.4332273,-121.8989248,us,California
KINS,Kingstone Companies,40.6431591,-73.6956865,us,New York
KIDS,Orthopediatrics,41.2381017,-85.8530544,us,Indiana
KELYA,Kelly Services,42.563093,-83.1310869,us,Michigan
KDP,Pepper Lunch,35.6812665,139.757653,jp,
KBAL,Kimball International,41.0321808,-87.1066598,us,Indiana
KALU,Kaiser Aluminum,35.925206,-86.8689419,us,Tennessee
JMIA,Luminar Technologies,28.5421109,-81.3790304,us,Florida
JDD,Ziff Davis,40.6120637,-74.0597827,us,New York
JD,JD.com,39.9057136,116.3912972,cn,北京市
ITRN,Ituran,32.0852997,34.7818064,il,מחוז תל אביב
ITRI,Itron,47.6681145,-117.104865,us,Washington
ITI,Iteris,33.71148395,-117.84615451369616,us,California
ISDR,DirecTV,33.917028,-118.4156337,us,California
IRWD,Ironwood Pharmaceuticals,42.3554334,-71.060511,us,Massachusetts
IOSP,Innospec,39.7837304,-100.445882,us,Kansas
INOD,Innodata,40.8871438,-74.0410865,us,New Jersey
INO,Inovio Pharmaceuticals,40.102332,-75.2743467,us,Pennsylvania
INBK,First Internet Bancorp,39.7683331,-86.1583502,us,Indiana
IMGN,ImmunoGen,42.3756401,-71.2358004,us,Massachusetts
IKNX,InfoSonics Corporation,32.7174202,-117.1627728,us,California
IID,Voxx International,28.375221,-81.3094426,us,Florida
IGIC,eHealthInsurance,37.2333253,-121.6846349,us,California
IEP,Icahn Enterprises,25.9426915,-80.1218486,us,Florida
IDEX,Ideanomics,40.7127281,-74.0060152,us,New York
IDCC,InterDigital,39.7459468,-75.546589,us,Delaware
ICUI,ICU Medical,33.4270275,-117.6124179,us,California
ICPT,Intercept Pharmaceuticals,40.7970382,-74.4809868,us,New Jersey
ICFI,ICF International,38.9530559,-77.35021396591173,us,Virginia
IBOC,International Bancshares Corporation,27.5236998,-99.497352,us,
IBM,Royal Business Bank,34.0536909,-118.242766,us,California
IBCP,Open Bank,34.0536909,-118.242766,us,California
HWC,Hancock Whitney,30.3674198,-89.0928155,us,Mississippi
HVT,Faraday Future,34.0536909,-118.242766,us,California
HUBG,Hub Group,41.8328085,-87.9289504,us,Illinois
HTHT,Huazhu Hotels Group,31.0018463,121.4212662,cn,
HTH,Angi Inc.,39.7392364,-104.984862,us,Colorado
HTBX,Heat Biologics,35.824341,-78.8300321,us,North Carolina
HTBI,HomeTrust Bancshares,35.6009498,-82.5540161,us,North Carolina
HROW,Harrow Health,36.1622767,-86.7742984,us,Tennessee
HPE,Paccar,47.6144219,-122.192337,us,Washington
HNW,Payoneer,40.6120637,-74.0597827,us,New York
HMST,TheStreet,40.7127281,-74.0060152,us,New York
HIBB,Hibbett Sports,33.5206824,-86.8024326,us,Alabama
HCKT,Acme Packet,42.4917301,-71.2817947,us,Massachusetts
HAYN,Haynes International,40.4864444,-86.1336351,us,Indiana
HAFC,Hanmi Bank,34.0536909,-118.242766,us,California
HA,Hawaiian Airlines,21.304547,-157.855676,us,Hawaii
GYC,ALCO Stores,32.9552598,-97.0155703,us,
GVP,GSE Systems,39.365992,-76.9688737,us,Maryland
GSIT,"MIND Technology, Inc.",30.7235263,-95.5507771,us,Texas
GRTS,Verastem Oncology,42.2802645,-71.2360624,us,Massachusetts
GRFS,Grifols,41.3828939,2.1774322,es,Catalunya
GOGO,Gogoro,24.9929995,121.3010003,tw,
GOGL,Golden Ocean Group,32.2956076,-64.7827048,bm,
GNUS,Genius Brands,34.0696501,-118.3963062,us,California
GNTX,Genset Corporation,48.8534951,2.3483915,fr,Île-de-France
GM,GreenPower Motor Company,49.2608724,-123.113952,ca,British Columbia
GLDD,Great Lakes Dredge and Dock Company,29.7589382,-95.3676974,us,
GILT,Gilat Satellite Networks,32.0877639,34.8859985,il,מחוז המרכז
GILD,Gilead Sciences,37.5600336,-122.2688522,us,California
GIII,G-III Apparel Group,40.6120637,-74.0597827,us,New York
GGAL,Grupo Financiero Galicia,-34.6075682,-58.4370894,ar,Ciudad Autónoma de Buenos Aires
GFED,Broadway Federal Bank,34.0536909,-118.242766,us,California
GEOS,Geospace Technologies,29.7589382,-95.3676974,us,
GDP,GoodRx,34.0194704,-118.491227,us,California
GCBC,Bank of Greene County,42.21657544999999,-73.86419206191073,us,New York
GAIN,Compugen (company),32.01599895,34.78595635978459,il,מחוז תל אביב
FUV,Arcimoto,44.0505054,-123.0950506,us,Oregon
FULT,Fulton Financial Corporation,40.03813,-76.3056686,us,Pennsylvania
FSV,FirstService,43.6534817,-79.3839347,ca,Ontario
FSLR,Ascent Solar,39.8695516,-104.985181,us,Colorado
FRME,First Merchants Corporation,40.1936892,-85.3865271,us,Indiana
FRG,Franchise Group,40.2317686,-82.9651045,us,Ohio
FPH,AvePoint,40.7215682,-74.047455,us,New Jersey
FORTY,Formula Systems,32.0309712,34.8523936,il,מחוז תל אביב
FOLD,Amicus Therapeutics,39.9527237,-75.1635262,us,Pennsylvania
FOCS,Focus Financial Partners,40.7127281,-74.0060152,us,New York
FLXN,Flexion Therapeutics,36.0956918,-79.4377991,us,North Carolina
FLT,NetSol Technologies,34.1446643,-118.644097,us,California
FLL,Full House Resorts,36.1410313,-115.329197,us,Nevada
FIVE,Five Below,39.9527237,-75.1635262,us,Pennsylvania
FGBI,First Guaranty Bank,30.5043583,-90.4611995,us,Louisiana
FFIN,First Financial Bank,39.4667025,-87.4139119,us,Indiana
FFC,GTx Incorporated,35.1460249,-90.0517638,us,Tennessee
FF,Futu,22.2850394,114.1583819,cn,香港 Hong Kong
FELE,Franklin Electric,41.0799898,-85.1386015,us,Indiana
FCEL,FuelCell Energy,41.394817,-73.4540111,us,
FCCY,1st Constitution Bancorp,40.3099385,-74.51772241230152,us,New Jersey
FAT,FAT Brands,34.0696501,-118.3963062,us,California
FAMI,Farmmi,31.6506882,119.0262399,cn,江苏省
EYES,Sevcon,54.9625789,-1.6019294,gb,England
EXTR,Extreme Networks,35.824341,-78.8300321,us,North Carolina
EXPE,Expedia Group,47.6503869,-122.3066356873096,us,Washington
EXPD,Expeditors International,47.6038321,-122.330062,us,Washington
EXAS,Material Sciences Corporation,42.7269261,-84.6433146,us,Michigan
EWBC,East West Bank,34.1476452,-118.1444779,us,California
EVRI,Diversey Holdings,35.0073697,-80.9450759,us,South Carolina
EVI,EVgo,-16.5867477,-72.7388789,pe,Arequipa
EVGBC,Just Eat Takeaway.com,52.3730796,4.8924534,nl,Noord-Holland
EVFM,Evotec,53.550341,10.000654,de,
EVER,EverQuote,42.3750997,-71.1056157,us,Massachusetts
EVA,Onvia,47.6038321,-122.330062,us,Washington
ESTE,Capstone Green Energy,34.1866193,-118.4486675,us,California
ESPR,Esperion Therapeutics,42.2681569,-83.7312291,us,Michigan
ESLT,Elbit Systems,32.8191218,34.9983856,il,מחוז חיפה
ESBK,Carver Federal Savings Bank,40.7127281,-74.0060152,us,New York
ERII,Energy Recovery,37.7249296,-122.1560768,us,California
ERIC,Ericsson,59.403311,17.9442849,se,
EQIX,Equinix,37.4863239,-122.232523,us,California
EML,The Eastern Company,41.4928044,-73.0521981,us,
EKSO,Ekso Bionics,37.9735346,-122.5310874,us,California
EIGR,Statera BioPharma,40.5508527,-105.0668085,us,Colorado
EH,EHang,23.1237625,113.33872147345546,cn,广东省
EGAN,eGain,37.3688301,-122.036349,us,California
EDU,Art Technology Group,42.3750997,-71.1056157,us,Massachusetts
EDIT,Editas Medicine,42.3750997,-71.1056157,us,Massachusetts
ED,Edgio,33.4255117,-111.9400164,us,Arizona
ECPG,Encore Capital Group,32.7174202,-117.1627728,us,California
EBMT,EagleBank,38.98127255,-77.12335871396549,us,Maryland
EAT,Tremor International,40.7127281,-74.0060152,us,New York
EA,Electronic Arts,37.4863239,-122.232523,us,California
DUK,Gravity (Korean company),37.5666791,126.9782914,kr,
DT,"Braze, Inc.",40.6120637,-74.0597827,us,New York
DSS,Curiosity Stream,38.9997621,-77.02403709829767,us,Maryland
DSKE,Daseke,41.931696,-87.9889556,us,Illinois
DSGX,Descartes Systems Group,43.4652699,-80.5222961,ca,Ontario
DPZ,Pizza Inn,33.0890094,-96.8863922,us,
DOYU,Internet Gold Golden Lines,30.8124247,34.8594762,il,מחוז הדרום
DNKN,Dunkin' Brands,42.1584324,-71.1447732,us,Massachusetts
DMRC,Digimarc,45.45776214999999,-122.79203469392294,us,Oregon
DJCO,Daily Journal Corporation,34.0536909,-118.242766,us,California
DIOD,Diodes Incorporated,33.0136764,-96.6925096,us,Texas
DHC,Diversified Global Graphics Group,40.7215682,-74.047455,us,New Jersey
DGII,Digi International,44.9271194,-93.4074945,us,Minnesota
DDOG,Datadog,40.6120637,-74.0597827,us,New York
